placement;player;buyins;event
1;Dante;1;marspoker
2;pontus;0;marspoker
3;stiice;0;marspoker
4;august;0;marspoker
5;Robert;1;marspoker
6;Simon;1;marspoker
7;DWX;1;marspoker
1;Dwx;0;aprilpoker
2;Lukas;1;aprilpoker
3;August;0;aprilpoker
4;Pontus;0;aprilpoker
5;Robert;0;aprilpoker
6;stiice;1;aprilpoker
7;dante;2;aprilpoker
8;carle;1;aprilpoker
1;patrick;1;majpoker
2;Robert;0;majpoker
3;DWX;0;majpoker
4;Simon;2;majpoker
5;Keke;3;majpoker
6;Lukas;2;majpoker
7;stiice;0;majpoker
1;Pontus;0;junipoker
2;hampus;1;junipoker
3;stiice;0;junipoker
4;markus;1;junipoker
5;lukas;0;junipoker
6;dwx;3;junipoker
7;patrick;0;junipoker
1;placeholder1;0;gigapoker
2;Robert;0;gigapoker
3;placeholder3;0;gigapoker
4;Simon;0;gigapoker
5;placeholder5;0;gigapoker
6;Lukas;1;gigapoker
7;placeholder7;0;gigapoker
8;placeholder8;0;gigapoker
9;placeholder9;0;gigapoker
10;placholder10;0;gigapoker
11;placeholder11;0;gigapoker
12;stiice;1;gigapoker
13;placeholder13;0;gigapoker
14;placholder14;0;gigapoker
15;placholder15;0;gigapoker
16;placholder16;0;gigapoker
17;placholder17;0;gigapoker
18;DWX;2;gigapoker
1;Pontus;0;thunderPoker
3;Robert;0;thunderPoker
5;August;0;thunderPoker
6;Simon;0;thunderPoker
7;stiice;0;thunderPoker
9;DWX;3;thunderPoker
11;Dante;2;thunderPoker
